,0
F1032.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RETURN VERIFY_RETURN_TYPE RETURN
F1033.php, E O E NOP RETURN E O E RECV ASSIGN_OBJ OP_DATA RETURN E O E FETCH_OBJ_R RETURN RETURN
F1034.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E FETCH_OBJ_R INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN
F1035.php, E O E DECLARE_CLASS ADD_INTERFACE VERIFY_ABSTRACT_CLASS RETURN E O E RECV RECV RETURN RETURN E O E RETURN E O E RECV RETURN E O E RECV RECV RETURN E O E RECV RETURN E O E RECV RETURN
F1036.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1037.php, E O E NOP RETURN
F1038.php, E O E NOP RETURN
F1039.php, E O E NOP RETURN
F104.php, E O E DECLARE_CLASS ADD_TRAIT ADD_TRAIT ADD_TRAIT ADD_TRAIT ADD_TRAIT BIND_TRAITS ADD_INTERFACE ADD_INTERFACE VERIFY_ABSTRACT_CLASS RETURN E O E RECV_INIT RECV_INIT RECV_INIT RECV_INIT RECV_INIT IS_NOT_IDENTICAL JMPZ ASSIGN_OBJ OP_DATA FETCH_OBJ_R IS_IDENTICAL JMPZ_EX BOOL JMPZ_EX INIT_METHOD_CALL SEND_VAL_EX DO_FCALL BOOL JMPZ INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN_OBJ OP_DATA FETCH_OBJ_R IS_IDENTICAL JMPZ INIT_NS_FCALL_BY_NAME FETCH_CLASS_NAME SEND_VAL_EX DO_FCALL FETCH_LIST ASSIGN FREE INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN_OBJ OP_DATA INIT_METHOD_CALL JMP_SET NEW DO_FCALL QM_ASSIGN SEND_VAL_EX DO_FCALL JMP_SET NEW DO_FCALL QM_ASSIGN ASSIGN_OBJ OP_DATA IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL INIT_METHOD_CALL SEND_VAL_EX INIT_METHOD_CALL DO_FCALL INIT_ARRAY ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN JMPZ CONCAT QM_ASSIGN JMP QM_ASSIGN FETCH_OBJ_R CONCAT ASSIGN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL INIT_METHOD_CALL DO_FCALL ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_NS_FCALL_BY_NAME SEND_VAL_EX DO_FCALL ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_NS_FCALL_BY_NAME SEND_VAL_EX DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL FETCH_THIS SEND_VAR_EX DO_FCALL RETURN E O E RETURN E O E RECV_INIT IS_IDENTICAL JMPZ_EX FETCH_OBJ_R IS_IDENTICAL BOOL JMPZ NEW FETCH_THIS SEND_VAR_EX DO_FCALL ASSIGN_OBJ OP_DATA IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL FETCH_THIS SEND_VAR_EX DO_FCALL ASSIGN_OBJ OP_DATA FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV RECV_INIT INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL FETCH_LIST ASSIGN FREE INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX SEND_VAR_EX DO_FCALL ASSIGN_OBJ OP_DATA VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ISSET_ISEMPTY_PROP_OBJ BOOL_NOT JMPZ INIT_NS_FCALL_BY_NAME FETCH_OBJ_FUNC_ARG SEND_VAR_EX SEND_VAL_EX DO_FCALL FETCH_LIST ASSIGN FETCH_LIST ASSIGN FREE IS_IDENTICAL JMPZ INIT_METHOD_CALL CAST CONCAT SEND_VAL_EX DO_FCALL RETURN INIT_NS_FCALL_BY_NAME DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAL_EX FETCH_CLASS_NAME SEND_VAL_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME INIT_NS_FCALL_BY_NAME SEND_VAL_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX SEND_VAR_EX FETCH_DIM_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX FETCH_DIM_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX FETCH_CONSTANT SEND_VAL_EX DO_FCALL RETURN RETURN E O E RECV RECV IS_IDENTICAL JMPZ INIT_NS_FCALL_BY_NAME SEND_VAL_EX DO_FCALL RETURN IS_IDENTICAL JMPZ INIT_NS_FCALL_BY_NAME SEND_VAL_EX DO_FCALL RETURN ASSIGN_OBJ OP_DATA RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ASSIGN_OBJ OP_DATA FETCH_THIS RETURN RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ASSIGN_OBJ OP_DATA FETCH_THIS RETURN RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E ASSIGN_OBJ OP_DATA FETCH_THIS RETURN RETURN E O E ASSIGN_OBJ OP_DATA FETCH_THIS RETURN RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ASSIGN_OBJ OP_DATA INIT_METHOD_CALL SEND_VAL_EX DO_FCALL JMP_SET QM_ASSIGN ASSIGN_OBJ OP_DATA FETCH_THIS RETURN RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ASSIGN_OBJ OP_DATA FETCH_THIS RETURN RETURN E O E FETCH_OBJ_R ASSIGN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL BOOL_NOT JMPZ NEW FETCH_OBJ_R CONCAT INIT_ARRAY INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ADD_ARRAY_ELEMENT INIT_METHOD_CALL SEND_VAL_EX DO_FCALL JMP_SET QM_ASSIGN ADD_ARRAY_ELEMENT INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL THROW INIT_STATIC_METHOD_CALL FETCH_THIS INIT_ARRAY ADD_ARRAY_ELEMENT SEND_VAL DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV RECV INIT_DYNAMIC_CALL SEND_UNPACK DO_FCALL ASSIGN IS_NOT_IDENTICAL JMPZ_EX INSTANCEOF BOOL_NOT BOOL JMPZ NEW INIT_NS_FCALL_BY_NAME SEND_VAL_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL THROW IS_IDENTICAL JMPZ_EX INIT_METHOD_CALL DO_FCALL BOOL JMPZ INIT_METHOD_CALL DO_FCALL ASSIGN JMPZ ASSIGN_OBJ OP_DATA RETURN E O E RETURN VERIFY_RETURN_TYPE RETURN E O E INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INSTANCEOF JMPZ INIT_METHOD_CALL DO_FCALL VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INSTANCEOF JMPZ INIT_METHOD_CALL DO_FCALL VERIFY_RETURN_TYPE RETURN RETURN VERIFY_RETURN_TYPE RETURN E O E INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INSTANCEOF JMPZ INIT_METHOD_CALL DO_FCALL VERIFY_RETURN_TYPE RETURN RETURN VERIFY_RETURN_TYPE RETURN E O E RECV RECV_INIT ASSIGN_OBJ OP_DATA JMPZ FETCH_OBJ_R INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN_OBJ OP_DATA INIT_METHOD_CALL SEND_VAL_EX INIT_ARRAY FETCH_OBJ_R ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INSTANCEOF JMPZ INIT_METHOD_CALL DO_FCALL ASSIGN_OBJ OP_DATA VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL DO_FCALL JMPZ RETURN FETCH_OBJ_R ASSIGN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL BOOL_NOT JMPZ INIT_METHOD_CALL INIT_STATIC_METHOD_CALL SEND_VAR_EX SEND_VAL_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN ASSIGN_OBJ OP_DATA VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV RECV_VARIADIC INIT_METHOD_CALL FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL INIT_METHOD_CALL SEND_UNPACK DO_FCALL RETURN RETURN E O E RECV_INIT RECV_INIT INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL BOOL_NOT JMPZ INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN_OBJ OP_DATA IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INSTANCEOF JMPZ INIT_METHOD_CALL DO_FCALL VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL DO_FCALL JMPZ FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL DO_FCALL IS_IDENTICAL JMPZ INIT_METHOD_CALL FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E FETCH_OBJ_R ASSIGN FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL JMPZ INIT_NS_FCALL_BY_NAME SEND_VAL_EX INIT_NS_FCALL_BY_NAME SEND_VAL_EX FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME FETCH_CONSTANT SEND_VAL_EX SEND_VAR_EX DO_FCALL FETCH_CONSTANT CONCAT CONCAT ASSIGN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV_INIT RECV_INIT FETCH_OBJ_R INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN IS_IDENTICAL JMPZ INIT_STATIC_METHOD_CALL SEND_VAR_EX BOOL_NOT SEND_VAL_EX DO_FCALL ASSIGN FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN JMPZ_EX BOOL JMPZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAR_EX DO_FCALL IS_IDENTICAL BOOL JMPZ INIT_NS_FCALL_BY_NAME SEND_VAR_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN FETCH_DIM_R IS_NOT_IDENTICAL JMPZ CONCAT ASSIGN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV_INIT RECV_INIT INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPNZ_EX IS_IDENTICAL BOOL JMPZ INIT_ARRAY FETCH_OBJ_R ADD_ARRAY_ELEMENT ASSIGN FE_RESET_R FE_FETCH_R ISSET_ISEMPTY_CV JMPZ JMP INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN JMP JMP FE_FREE INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ISSET_ISEMPTY_CV JMPZ NEW SEND_VAL_EX DO_FCALL THROW FETCH_OBJ_R ASSIGN_ADD FETCH_OBJ_R INIT_METHOD_CALL SEND_VAR_EX SEND_VAR_EX DO_FCALL RETURN RETURN E O E RECV NEW SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL JMPZ RETURN NEW FETCH_THIS SEND_VAR_EX SEND_VAR_EX DO_FCALL ASSIGN JMP E CATCH RETURN INIT_METHOD_CALL DO_FCALL JMPZ_EX INIT_METHOD_CALL DO_FCALL IS_IDENTICAL BOOL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV RETURN E O E RECV RETURN E O E RECV RECV RECV RETURN E O E RECV RETURN
F1040.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV RECV RECV_INIT RETURN
